source	target	weight
ARNT2	CSDC2	-0.968760908323439
ARNT2	CHST9	0.964330971828159
ARNT2	APBB1IP	0.962056232660604
ARNT2	KCNK5	-0.958774442934529
ARNT2	ANTXR1	0.954340139735736
ARNT2	NQO2	-0.95083380082303
ARNT2	DPF3	-0.950464929331612
ARNT2	PROM1	0.949589776628559
ARNT2	BCL2L13	-0.949581496533072
ARNT2	TRIM22	0.947679307880964
ARNT2	MTHFR	-0.946745503655878
ARNT2	DEPTOR	-0.945497105016387
ARNT2	ABO	-0.944576470214623
ARNT2	GDA	-0.944575080017564
ARNT2	SLC13A3	-0.944393408360804
ARNT2	SAMD5	-0.943817084354424
ARNT2	GLDC	-0.94194860119191
ARNT2	JAG1	0.941305207877533
ARNT2	RAI2	0.941217267301662
ARNT2	PC	-0.939824353879805
ARNT2	SORL1	0.939301587190424
ARNT2	TESC	0.937929965640725
ARNT2	FNIP2	-0.937917907395321
ARNT2	SLC22A7	-0.937773419718039
ARNT2	SNTB2	-0.9363754649843
ARNT2	LINC00862	-0.933238354928093
ARNT2	HHAT	0.932837856915849
ARNT2	TBC1D9	0.932311520996403
ARNT2	BCR	-0.931943333973663
ARNT2	DYNC2LI1	0.931591392018435
ARNT2	MUC20	-0.931054330608727
ARNT2	PLCD4	-0.930873829945942
ARNT2	SFXN5	-0.930668392077388
ARNT2	GPAT3	-0.930450169660443
ARNT2	CPVL	0.929792472841733
ARNT2	ACOX1	-0.929344538939079
ARNT2	SCRN1	0.928934345524764
ARNT2	FAM124A	-0.92834420133304
ARNT2	PARM1	-0.927873190792686
ARNT2	CXADR	0.927314386048369
ARNT2	CGNL1	-0.926973888117278
ARNT2	GPT2	-0.926679761598472
ARNT2	BNIP3L	-0.926551128540973
ARNT2	TUSC3	0.926380012381052
ARNT2	SLC22A5	-0.926075267804487
ARNT2	CAMK2G	-0.925913105217987
ARNT2	F11-AS1	-0.925402771836187
ARNT2	RNF144B	0.925366360638014
ARNT2	PCSK5	-0.923915107856109
ARNT2	KIF23	-0.92375130507408
ARNT2	TSKU	-0.923701607106713
ARNT2	ADORA2A-AS1	-0.923270347264439
ARNT2	GALNT2	-0.923009998287122
ARNT2	SH3BP2	-0.922818541308459
ARNT2	CFAP54	0.922397720964501
ARNT2	GAS2L3	-0.921784288544259
ARNT2	EGR1	0.921019485070862
ARNT2	SLC25A42	-0.92071313263899
ARNT2	MAPT	-0.920356103286403
ARNT2	ENTPD5	-0.92028357552003
ARNT2	INPP5B	-0.920153118383503
ARNT2	BACE2	0.92010858142458
ARNT2	KIF26B	0.918175121758894
ARNT2	KIF13B	-0.917158282468475
ARNT2	LINC01117	0.916386910989167
ARNT2	CASC15	0.915017082071765
ARNT2	UGT1A6	-0.914494768302504
ARNT2	FAM102A	-0.914489851877207
ARNT2	NFKBIA	0.914366176970713
ARNT2	PTGFRN	0.914277602268788
ARNT2	KCNIP1	0.914189176597845
ARNT2	ST3GAL1	-0.913947909546807
ARNT2	SLC6A12	-0.913739162338037
ARNT2	PRICKLE1	0.913589486789155
ARNT2	ITIH5	0.913211595745397
ARNT2	PPP1R16B	-0.913155345972368
ARNT2	LRRK1	0.912394651758408
ARNT2	FSTL3	0.912234226866635
ARNT2	EPB41L3	-0.911810639407068
ARNT2	CNTNAP3	-0.911584416638847
ARNT2	CLEC2D	0.911511230645338
ARNT2	TTC39C	0.911269532916453
ARNT2	PPARGC1B	-0.910083547447392
ARNT2	KIF16B	-0.909976855630867
ARNT2	GABRB3	-0.90953869544291
ARNT2	GFRA1	0.908420533108369
ARNT2	KAZN	0.908338046812205
ARNT2	P4HA1	-0.908187788292461
ARNT2	LIN52	-0.908152363255371
ARNT2	SGPP2	0.907130842765981
ARNT2	P4HA2	-0.906803281134998
ARNT2	BAMBI	0.9067877477214
ARNT2	LHPP	-0.906704761459909
ARNT2	LARP4	-0.90643929142521
ARNT2	NPNT	0.906404297981915
ARNT2	MYOF	0.906175516966522
ARNT2	ACADSB	-0.904531116357131
ARNT2	CASR	0.904108323482526
ARNT2	KIRREL1	0.904078067517169
ARNT2	SLCO3A1	0.904046847528632
ARNT2	SLC22A11	-0.903983958920119
ARNT2	LIPC	0.903949592676358
ARNT2	ATP6V0A1	-0.903731880418817
ARNT2	LOXL1	0.90360054859487
ARNT2	ZFYVE1	-0.903330876811843
ARNT2	RNF157	-0.903313779995424
ARNT2	PLEKHH2	0.902710871855711
ARNT2	FAM110B	0.902654197064944
ARNT2	OSBPL6	-0.902592728578897
ARNT2	UGT1A1	-0.90252756136292
ARNT2	SH3TC1	-0.902003014965139
ARNT2	KCNAB2	-0.901428922256837
ARNT2	VCAM1	0.900996469796677
ARNT2	GPR155	-0.900578019891348
ARNT2	RCAN3	0.900561708142851
ARNT2	MIR29B2CHG	-0.900286473728214
ARNT2	SLC39A11	-0.899406347657398
ARNT2	MYLK	0.899068146338791
ARNT2	ADAMTS3	0.898858728549829
ARNT2	CRYL1	-0.898449667582914
ARNT2	MYC	0.898375309461778
ARNT2	CD47	0.89821695965723
ARNT2	AGPAT4	0.898080048727025
ARNT2	CYP24A1	-0.896952665033009
ARNT2	MIR31HG	0.896523308310472
ARNT2	SCIN	0.896156054605071
ARNT2	ZFP36L1	0.895277279236007
ARNT2	PRKCZ	-0.895276353165201
ARNT2	ESPN	-0.895123872708509
ARNT2	ZKSCAN1	-0.89511903532652
ARNT2	SLC22A23	-0.895115417456128
ARNT2	GCH1	-0.895099600293362
ARNT2	RBM47	-0.895098441734967
ARNT2	MDFIC	0.894985087210165
ARNT2	ALDH1L1	-0.89496456546726
ARNT2	STRIP2	-0.894000290638979
ARNT2	MAP3K1	0.893353899476238
ARNT2	ARNT2	0.89322095483672
ARNT2	TPCN2	-0.892802184452946
ARNT2	TNFAIP2	0.892644542064684
ARNT2	HPCAL1	-0.892268279000309
ARNT2	MAST2	-0.892133866806809
ARNT2	SLC4A4	-0.892125854592311
ARNT2	SPATA6L	0.891743442094877
ARNT2	PRKAG2	-0.891555542822524
ARNT2	CECR2	-0.89149486625838
ARNT2	PDZD2	-0.891325163466299
ARNT2	EPS15L1	-0.891225550178026
ARNT2	BAG3	-0.891198892898619
ARNT2	PTH1R	-0.891189097573874
ARNT2	HSDL2	-0.890980642141196
ARNT2	REPS2	-0.890681018772036
ARNT2	NDRG1	-0.889957048269971
